,id,retweet_count,favorite_count,created_at,text,source
0,892420643555336193,8439,38420,Tue Aug 01 16:23:56 +0000 2017,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,892177421306343426,6221,32901,Tue Aug 01 00:17:27 +0000 2017,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boop… https://t.co/aQFSeaCu9L","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2,891815181378084864,4119,24799,Mon Jul 31 00:18:03 +0000 2017,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.… https://t.co/r0YlrsGCgy,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,891689557279858688,8570,41750,Sun Jul 30 15:58:51 +0000 2017,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,891327558926688256,9298,39913,Sat Jul 29 16:00:24 +0000 2017,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected a… https://t.co/0g0KMIVXZ3","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
5,891087950875897856,3085,20034,Sat Jul 29 00:08:17 +0000 2017,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:… https://t.co/xx5cilW0Dd,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
6,890971913173991426,2050,11725,Fri Jul 28 16:27:12 +0000 2017,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below… https://t.co/MV01Q820LT,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
7,890729181411237888,18725,64850,Fri Jul 28 00:22:40 +0000 2017,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13… https://t.co/hrcFOGi12V,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
8,890609185150312448,4228,27553,Thu Jul 27 16:25:51 +0000 2017,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10… https://t.co/UkrdQyoYxV,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
9,890240255349198849,7334,31611,Wed Jul 26 15:59:51 +0000 2017,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant… https://t.co/l3TSS3o2M0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
